Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Jason Henderson,ODU,['LB'],['37'],['80'],['117'],['2.5'],['15'],['0'],['0'],['0'],['0'],['0']
Joe Sparacio,EMU,['LB'],['45'],['61'],['106'],['2.0'],['0'],['2'],['0'],['0'],['0'],['2']
Tyrice Knight,UTEP,['LB'],['66'],['36'],['102'],['3.5'],['18'],['3'],['0'],['0'],['0'],['0']
Jay Higgins,IOWA,['LB'],['43'],['58'],['101'],['0.0'],['0'],['2'],['1'],['0'],['0'],['1']
Bryce Houston,OHIO,['LB'],['40'],['53'],['93'],['1.5'],['15'],['0'],['2'],['24'],['0'],['1']
Matt Salopek,M-OH,['LB'],['51'],['42'],['93'],['2.0'],['0'],['1'],['0'],['0'],['0'],['0']
Trevor Williams,SHSU,['LB'],['59'],['33'],['92'],['0.5'],['0'],['0'],['0'],['0'],['0'],['1']
Donovan Manuel,FIU,['LB'],['47'],['43'],['90'],['0.5'],['0'],['2'],['0'],['0'],['0'],['4']
Payton Wilson,NCSU,['LB'],['41'],['48'],['89'],['4.0'],['11'],['3'],['2'],['15'],['1'],['0']
Chase Kline,EMU,['LB'],['30'],['55'],['85'],['2.0'],['24'],['2'],['0'],['0'],['0'],['2']
Jett Johnson,MSST,['LB'],['35'],['49'],['84'],['4.0'],['20'],['0'],['2'],['33'],['0'],['2']
MJ Tafisi Jr.,USU,['LB'],['32'],['51'],['83'],['0.0'],['0'],['1'],['0'],['0'],['0'],['2']
Nickolas Martin,OKST,['LB'],['40'],['43'],['83'],['5.0'],['3'],['0'],['1'],['13'],['0'],['1']
Jackson Mitchell,CONN,['LB'],['39'],['42'],['81'],['1.0'],['0'],['1'],['1'],['0'],['0'],['0']
Nathaniel Watson,MSST,['LB'],['26'],['54'],['80'],['7.5'],['4'],['2'],['1'],['16'],['0'],['1']
Kendarin Ray,TLSA,['S'],['40'],['40'],['80'],['0.0'],['0'],['0'],['1'],['0'],['0'],['0']
Terry Jones,ODU,['S'],['21'],['58'],['79'],['0.0'],['28'],['4'],['0'],['0'],['0'],['0']
Hunter Wohler,WIS,['S'],['49'],['29'],['78'],['1.0'],['19'],['4'],['2'],['0'],['0'],['0']
Jack Howell,CSU,['DB'],['24'],['54'],['78'],['0.0'],['10'],['2'],['1'],['23'],['0'],['1']
Chase Wilson,CSU,['LB'],['30'],['47'],['77'],['1.0'],['0'],['2'],['0'],['0'],['0'],['0']
Cedric Gray,UNC,['LB'],['42'],['34'],['76'],['2.5'],['22'],['3'],['1'],['0'],['0'],['1']
Bryan McCoy,AKR,['LB'],['25'],['51'],['76'],['1.0'],['33'],['0'],['0'],['0'],['0'],['0']
Easton Gibbs,WYO,['LB'],['37'],['37'],['74'],['0.5'],['0'],['4'],['0'],['0'],['0'],['2']
