Player,School,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
Michael Penix Jr.,WASH,['QB'],['203'],['294'],['69.0'],"['2,945']",['10.0'],['92'],['24'],['6'],['5'],['176.0']
Caleb Williams,USC,['QB'],['189'],['277'],['68.2'],"['2,646']",['9.6'],['76'],['25'],['4'],['24'],['175.4']
Shedeur Sanders,COLO,['QB'],['246'],['346'],['71.1'],"['2,637']",['7.6'],['75'],['22'],['3'],['41'],['154.4']
Jayden Daniels,LSU,['QB'],['163'],['223'],['73.1'],"['2,573']",['11.5'],['86'],['25'],['3'],['17'],['204.3']
Brayden Schager,HAW,['QB'],['234'],['371'],['63.1'],"['2,565']",['6.9'],['65'],['20'],['12'],['32'],['132.5']
Drake Maye,UNC,['QB'],['187'],['285'],['65.6'],"['2,559']",['9.0'],['77'],['16'],['5'],['20'],['156.1']
Cameron Ward,WSU,['QB'],['216'],['309'],['69.9'],"['2,532']",['8.2'],['63'],['16'],['3'],['22'],['153.9']
Brayden Fowler-Nicolosi,CSU,['QB'],['210'],['330'],['63.6'],"['2,476']",['7.5'],['76'],['16'],['11'],['10'],['136.0']
Carson Beck,UGA,['QB'],['192'],['263'],['73.0'],"['2,462']",['9.4'],['55'],['14'],['4'],['5'],['166.2']
Davis Brin,GASO,['QB'],['239'],['360'],['66.4'],"['2,456']",['6.8'],['76'],['17'],['12'],['18'],['132.6']
Gunnar Watson,TROY,['QB'],['168'],['274'],['61.3'],"['2,435']",['8.9'],['64'],['17'],['4'],['19'],['153.5']
JT Daniels,RICE,['QB'],['173'],['272'],['63.6'],"['2,362']",['8.7'],['80'],['19'],['6'],['12'],['155.2']
Bo Nix,ORE,['QB'],['206'],['263'],['78.3'],"['2,337']",['8.9'],['72'],['21'],['1'],['4'],['178.6']
Dillon Gabriel,OU,['QB'],['180'],['252'],['71.4'],"['2,302']",['9.1'],['55'],['19'],['4'],['9'],['169.9']
Austin Reed,WKU,['QB'],['204'],['338'],['60.4'],"['2,280']",['6.7'],['70'],['20'],['5'],['4'],['133.6']
