Player,School,POS,REC,YDS,AVG,LNG,TD
MalikNabers,LSU,'WR','66',"'1,152'",'17.5','51','10'
CaullinLacy,USA,'WR','64',"'1,046'",'16.3','84','6'
MalikWashington,UVA,'WR','79',"'1,044'",'13.2','64','6'
LaJohntayWester,FAU,'WR','87',"'1,004'",'11.5','76','8'
RomeOdunze,WASH,'WR','56','989','17.7','50','7'
XavierLegette,SC,'WR','50','973','19.5','76','5'
LutherBurdenIII,MIZ,'WR','64','958','15.0','56','7'
TroyFranklin,ORE,'WR','58','946','16.3','72','10'
MarvinHarrisonJr.,OSU,'WR','52','914','17.6','75','10'
Ja'LynnPolk,WASH,'WR','51','888','17.4','92','8'
RickyWhite,UNLV,'WR','54','876','16.2','82','6'
EricMcAlister,BOIS,'WR','47','873','18.6','83','5'
ToryHorton,CSU,'WR','77','848','11.0','76','6'
TahjWashington,USC,'WR','43','833','19.4','76','6'
KrisMitchell,FIU,'WR','48','820','17.1','64','6'
JoeyHobert,TXST,'WR','64','804','12.6','83','7'
JalenRoyals,USU,'WR','51','794','15.6','71','11'
ElicAyomanor,STAN,'WR','49','790','16.1','97','5'
KellyAkharaiyi,UTEP,'WR','37','786','21.2','80','5'
StevenMcBride,HAW,'WR','47','785','16.7','65','8'
XavierWeaver,COLO,'WR','60','783','13.1','48','4'
RickyPearsall,FLA,'WR','55','773','14.1','50','4'
BrianThomasJr.,LSU,'WR','45','768','17.1','86','11'
Ja'MoriMaclin,UNT,'WR','44','766','17.4','80','11'
SamuelBrown,HOU,'WR','54','764','14.1','53','3'
TetairoaMcMillan,ARIZ,'WR','52','753','14.5','55','7'
RocTaylor,MEM,'WR','47','752','16.0','85','4'
JoshuaCephus,UTSA,'WR','62','750','12.1','84','7'
TreHarris,MISS,'WR','38','749','19.7','56','7'
KhalebHood,GASO,'WR','73','748','10.2','43','4'
TerrellVaughn,USU,'WR','64','730','11.4','76','9'
JamariThrash,LOU,'WR','46','712','15.5','85','6'
SmokeHarris,LT,'WR','67','710','10.6','64','4'
ReggieBrown,JMU,'WR','36','701','19.5','74','6'
LukeMcCaffrey,RICE,'WR','45','700','15.6','51','9'
IsaiahWilliams,ILL,'WR','59','693','11.7','49','3'
XavierRestrepo,MIA,'WR','60','683','11.4','48','4'
SamPinckney,CCU,'WR','48','682','14.2','52','5'
ElijahSarratt,JMU,'WR','47','681','14.5','48','4'
JavonBaker,UCF,'WR','33','678','20.5','86','5'
RobertLewis,GAST,'WR','48','677','14.1','97','6'
PofeleAshlock,HAW,'WR','60','659','11.0','53','7'
MalachiCorley,WKU,'WR','53','657','12.4','70','8'
CJDaniels,LIB,'WR','30','655','21.8','75','6'
KyleWilliams,WSU,'WR','48','654','13.6','63','4'
DallinHolker,CSU,'TE','51','653','12.8','42','6'
AiniasSmith,TA&M,'WR','39','652','16.7','42','1'
KeAndreLambert-Smith,PSU,'WR','51','645','12.6','72','4'
LincolnVictor,WSU,'WR','65','639','9.8','50','4'
SeanAtkins,USF,'WR','60','639','10.6','88','4'
AnthonySimpson,MASS,'WR','45','637','14.2','71','3'
WillSheppard,VAN,'WR','44','634','14.4','85','8'
XzavierHenderson,CIN,'WR','46','631','13.7','53','3'
JordanWatkins,MISS,'WR','44','627','14.3','68','3'
AndrewArmstrong,ARK,'WR','46','623','13.5','48','4'
JabreBarber,TROY,'WR','41','622','15.2','52','3'
XavierWorthy,TEX,'WR','49','620','12.7','44','4'
ChrishonMcCray,KENT,'WR','41','610','14.9','42','4'
TejhaunPalmer,UAB,'WR','36','609','16.9','70','5'
KobeHudson,UCF,'WR','28','607','21.7','69','4'
DaytonWade,MISS,'WR','40','602','15.1','48','3'
JamaalPritchett,USA,'WR','41','600','14.6','50','3'
TezJohnson,ORE,'WR','46','599','13.0','49','6'
GageLarvadain,M-OH,'WR','32','596','18.6','99','6'
LawrenceKeysIII,TULN,'WR','32','593','18.5','57','7'
RomanWilson,MICH,'WR','36','589','16.4','47','10'
MonarayBaldwin,BAY,'WR','34','586','17.2','71','3'
DemeerBlankumsee,MEM,'WR','36','585','16.3','59','3'
AdonaiMitchell,TEX,'WR','37','576','15.6','47','8'
JaydenHiggins,ISU,'WR','31','568','18.3','75','4'
BrockBowers,UGA,'TE','41','567','13.8','49','4'
ErikBrooks,FRES,'WR','41','565','13.8','49','5'
MalachiFields,UVA,'WR','44','563','12.8','39','2'
BrendenRice,USC,'WR','32','563','17.6','75','10'
DanielJackson,MINN,'WR','38','562','14.8','39','7'
SilasBolden,ORST,'WR','40','562','14.1','50','4'
JoshKelly,WSU,'WR','38','557','14.7','44','6'
SquirrelWhite,TENN,'WR','46','557','12.1','83','2'
CyrusAllen,LT,'WR','34','555','16.3','85','2'
LideatrickGriffin,MSST,'WR','38','554','14.6','65','3'
JacolbyGeorge,MIA,'WR','41','554','13.5','64','5'
KevinConcepcion,NCSU,'WR','47','554','11.8','72','6'
ElijahMetcalf,MTSU,'WR','45','552','12.3','71','5'
JaredBrown,CCU,'WR','41','552','13.5','59','3'
EricSingletonJr.,GT,'WR','33','552','16.7','58','6'
JalilFarooq,OU,'WR','33','547','16.6','49','2'
NoahSmith,SHSU,'WR','61','544','8.9','31','5'
JustusRoss-Simmons,CSU,'WR','35','542','15.5','75','3'
AnthonyGould,ORST,'WR','32','538','16.8','75','2'
DerwinBurgessJr.,GASO,'WR','50','538','10.8','68','4'
KeonColeman,FSU,'WR','38','538','14.2','58','9'
JermaineBurton,ALA,'WR','26','537','20.7','54','5'
ChrisLewis,TROY,'WR','22','535','24.3','64','7'
ElijhahBadger,ASU,'WR','46','533','11.6','65','2'
TheoWeaseJr.,MIZ,'WR','41','530','12.9','33','5'
NaiemSimmons,USF,'WR','30','530','17.7','53','4'
DrakeStoops,OU,'WR','52','528','10.2','39','6'
JahmalBanks,WAKE,'WR','47','528','11.2','33','3'
JalenMoss,FRES,'WR','44','527','12.0','60','4'
JeshaunJones,MD,'WR','40','521','13.0','64','4'
SamWiglusz,OHIO,'WR','44','519','11.8','38','3'
LawrenceArnold,KU,'WR','31','515','16.6','80','2'
PhillipBrooks,KSU,'WR','44','513','11.7','40','5'
ChaseRoberts,BYU,'WR','37','512','13.8','59','4'
KaedinRobinson,APP,'WR','37','512','13.8','34','5'
JacobCowing,ARIZ,'WR','69','510','7.4','30','9'
BryceKirtz,NU,'WR','33','507','15.4','80','4'
TailiqueWilliams,GAST,'WR','32','507','15.8','78','3'
EvanStewart,TA&M,'WR','37','506','13.7','44','4'
AshtynHawkins,TXST,'WR','37','506','13.7','43','2'
NickNash,SJSU,'WR','37','502','13.6','58','7'
WillPauling,WIS,'WR','46','500','10.9','32','3'
J.J.Jones,UNC,'WR','31','499','16.1','57','1'
JimmyHornJr.,COLO,'WR','52','499','9.6','45','5'
KonataMumpfield,PITT,'WR','36','498','13.8','82','4'
NicAnderson,OU,'WR','20','497','24.9','52','8'
JeremiahHunter,CAL,'WR','43','493','11.5','50','4'
MicahDavis,USU,'WR','27','493','18.3','76','5'
KoleWilson,TXST,'WR','41','492','12.0','77','5'
KennethWomack,WMU,'WR','54','488','9.0','34','1'
BubMeans,PITT,'WR','30','487','16.2','75','4'
LewisBond,BC,'WR','35','485','13.9','42','5'
KadenPrather,MD,'WR','33','484','14.7','43','5'
JordanMoore,DUKE,'WR','36','483','13.4','49','4'
CourtneyJackson,ARST,'WR','25','480','19.2','60','6'
AmadAndersonJr.,TEM,'WR','30','478','15.9','74','1'
HoldenWillis,MTSU,'WR','32','477','14.9','60','2'
ColbieYoung,MIA,'WR','36','470','13.1','57','4'
TaiFelton,MD,'WR','33','469','14.2','46','4'
DeionBurks,PUR,'WR','32','469','14.7','84','6'
BradenSmith,CIN,'WR','33','469','14.2','48','4'
DeshonStoudemire,TROY,'WR','33','468','14.2','51','1'
JeremiahBallard,UTEP,'WR','30','464','15.5','50','1'
LoganLoya,UCLA,'WR','37','463','12.5','49','3'
TayvionRobinson,UK,'WR','31','462','14.9','56','3'
JakariusCaston,USM,'WR','27','460','17.0','80','4'
PerryCarter,JVST,'WR','25','458','18.3','63','3'
TravisHunter,COLO,'CB','40','458','11.4','43','3'
JonathanBrady,NMSU,'WR','26','458','17.6','80','3'
ChristanHorn,APP,'WR','27','456','16.9','52','5'
JalonCalhoun,DUKE,'WR','31','455','14.7','69','2'
LatrealJones,USM,'WR','31','450','14.5','43','3'
TaylorMorin,WAKE,'WR','31','449','14.5','61','2'
ChrisTyree,ND,'WR','23','446','19.4','76','3'
RashodOwens,OKST,'WR','37','445','12.0','45','1'
BeauxCollins,CLEM,'WR','33','445','13.5','69','2'
CoreyRucker,ARST,'WR','22','443','20.1','68','0'
TykeeOgle-Kellogg,UTSA,'WR','26','440','16.9','46','6'
BrysonNesbit,UNC,'TE','29','440','15.2','62','4'
JaylinNoel,ISU,'WR','47','438','9.3','51','2'
DevontezWalker,UNC,'WR','28','438','15.6','56','6'
JPRichardson,TCU,'WR','33','437','13.2','59','2'
MontorieFosterJr.,MSU,'WR','33','436','13.2','42','2'
JosephManjackIV,HOU,'WR','35','435','12.4','49','4'
BenSinnott,KSU,'TE','32','433','13.5','42','3'
ChrisBrazzellII,TULN,'WR','26','433','16.7','39','2'
MalikRutherford,GT,'WR','37','432','11.7','55','3'
RodericBurns,UNT,'WR','36','431','12.0','42','4'
DaneKey,UK,'WR','28','431','15.4','44','4'
CadeStover,OSU,'TE','27','429','15.9','49','3'
TreonSibley,LIB,'WR','19','429','22.6','68','4'
AndrelAnthony,OU,'WR','27','429','15.9','55','1'
JessePrewittIII,CMU,'WR','29','428','14.8','70','4'
JaylinLane,VT,'WR','30','426','14.2','75','5'
J.MichaelSturdivant,UCLA,'WR','27','424','15.7','62','3'
TyroneHowell,ULM,'WR','40','423','10.6','37','6'
CorneliusJohnson,MICH,'WR','24','422','17.6','50','1'
MitchellEvans,ND,'TE','29','422','14.6','36','1'
Jha'QuanJackson,TULN,'WR','24','421','17.5','48','4'
IsaiahBond,ALA,'WR','28','420','15.0','52','3'
ColstonLoveland,MICH,'TE','27','419','15.5','54','4'
JustinOlson,MTSU,'WR','41','418','10.2','42','1'
MilesCross,OHIO,'WR','32','417','13.0','32','4'
DalevonCampbell,NEV,'WR','19','416','21.9','53','1'
EugeneWilsonIII,FLA,'WR','45','416','9.2','30','4'
CamJohnson,NU,'WR','34','415','12.2','43','2'
BrennanPresley,OKST,'WR','47','415','8.8','29','5'
JohnnyWilson,FSU,'WR','25','415','16.6','44','2'
DevinCarter,WVU,'WR','23','414','18.0','49','1'
RamelKeyton,TENN,'WR','24','412','17.2','60','4'
JustinJoly,CONN,'TE','34','408','12.0','59','1'
TylerBrown,CLEM,'WR','33','406','12.3','47','3'
JuniorVanderossIII,TOL,'WR','30','406','13.5','68','1'
MatthewGolden,HOU,'WR','38','404','10.6','39','6'
DanielGeorge,AKR,'WR','40','402','10.1','50','1'
JaelenGill,FRES,'WR','39','401','10.3','65','5'
DevanWilliams,TLSA,'WR','29','399','13.8','42','2'
DominicLovett,UGA,'WR','39','398','10.2','55','2'
AshtonJeanty,BOIS,'RB','30','396','13.2','50','4'
JerjuanNewton,TOL,'WR','30','394','13.1','42','9'
KetronJacksonJr.,BAY,'WR','24','392','16.3','55','0'
MookieCooper,MIZ,'WR','30','391','13.0','41','0'
BrettBuckman,CONN,'WR','37','390','10.5','40','1'
TannerMcLachlan,ARIZ,'TE','31','389','12.5','36','2'
DamienAlford,SYR,'WR','24','389','16.2','35','1'
LouisBrownIV,CSU,'WR','40','389','9.7','46','3'
MalikPhillips,SHSU,'WR','30','389','13.0','41','1'
XavierWhite,TTU,'WR','27','388','14.4','72','1'
AmareThomas,UAB,'WR','44','388','8.8','49','3'
KelbyWilliams,ODU,'WR','17','388','22.8','78','2'
NateMcCollum,UNC,'WR','34','387','11.4','48','1'
DonavenMcCulley,IU,'WR','29','387','13.3','69','3'
DamonWard,UNT,'WR','29','385','13.3','59','4'
JakeBailey,SMU,'WR','31','384','12.4','34','0'
PatBryant,ILL,'WR','31','384','12.4','46','5'
JasaiahGathings,AKR,'WR','36','383','10.6','39','1'
TrayvonRudolph,NIU,'WR','33','382','11.6','72','2'
JaylenJohnson,ECU,'WR','36','381','10.6','39','1'
MylesPrice,TTU,'WR','38','381','10.0','33','5'
QuentinSkinner,KU,'WR','19','380','20.0','49','2'
JaydenMcGowan,VAN,'WR','35','380','10.9','50','0'
ChaseSowell,ECU,'WR','31','380','12.3','45','1'
LondonHumphreys,VAN,'WR','16','380','23.8','56','4'
Ja'TavionSanders,TEX,'TE','22','378','17.2','50','1'
PeterLeBlanc,UL,'WR','23','375','16.3','87','4'
UmariHatcher,SYR,'WR','25','375','15.0','48','2'
TannerKnue,EMU,'WR','37','371','10.0','39','3'
MacDalena,FRES,'WR','32','371','11.6','33','2'
DeanConnors,RICE,'RB','35','371','10.6','80','3'
TiaquelinMims,USM,'DB','32','369','11.5','37','1'
JeffForeman,ARST,'WR','17','367','21.6','42','3'
JaheimBell,FSU,'TE','31','365','11.8','44','2'
DevinMcCuin,UTSA,'WR','25','365','14.6','72','2'
ChristianDremel,RUTG,'WR','28','363','13.0','69','3'
JackVelling,ORST,'TE','24','363','15.1','41','8'
TrondGrizzell,CAL,'WR','26','362','13.9','38','3'
CoreyDyches,MD,'TE','37','361','9.8','44','1'
BrysonGreen,WIS,'WR','23','360','15.7','54','1'
MarcusRosemy-Jacksaint,UGA,'WR','21','359','17.1','50','2'
BarionBrown,UK,'WR','32','358','11.2','55','2'
RawsonMacNeill,RICE,'WR','24','358','14.9','38','2'
JakeBriningstool,CLEM,'TE','33','357','10.8','50','3'
JacobDeJesus,UNLV,'WR','35','356','10.2','48','2'
DavidMartin-Robinson,TEM,'TE','28','355','12.7','33','3'
JeremiahHixon,UNM,'WR','30','355','11.8','59','5'
GeorgeJohnsonIII,MASS,'WR','28','355','12.7','32','3'
CameronRoss,CONN,'WR','34','353','10.4','41','1'
JackHestera,CLT,'WR','27','353','13.1','37','3'
DalenCobb,GASO,'WR','25','353','14.1','76','1'
BlakeWatson,MEM,'RB','35','352','10.1','63','1'
JairusMack,CLT,'WR','19','350','18.4','51','1'
JadenBray,OKST,'WR','27','349','12.9','45','1'
ZaeBaines,TEM,'WR','26','347','13.3','60','0'
DrakeDabney,BAY,'TE','23','347','15.1','53','4'
KyrenLacy,LSU,'WR','18','347','19.3','57','4'
DariusLassiter,BYU,'WR','28','347','12.4','47','4'
Da'QuanFelton,VT,'WR','24','346','14.4','62','4'
MichaelBrown-Stephens,USF,'WR','26','344','13.2','38','2'
JermaineBrownJr.,UAB,'RB','30','343','11.4','55','1'
DariyanWiley,ULM,'WR','19','340','17.9','68','2'
TajDavis,CAL,'WR','31','338','10.9','27','3'
DevaughnVele,UTAH,'WR','29','337','11.6','35','2'
Ke'ShawnWilliams,WAKE,'WR','31','337','10.9','34','1'
LaddMcConkey,UGA,'WR','22','337','15.3','54','1'
TJSheffield,PUR,'WR','30','336','11.2','43','1'
EastonMesser,WKU,'WR','27','335','12.4','35','3'
KamdynBenjamin,TLSA,'WR','25','334','13.4','40','2'
IsaacRex,BYU,'TE','26','333','12.8','65','1'
JerandBradley,TTU,'WR','31','332','10.7','34','4'
EmekaEgbuka,OSU,'WR','26','332','12.8','28','3'
JaredRoznos,AFA,'WR','11','332','30.2','84','2'
