Player,School,POS,ATT,YDS,AVG,LNG,TD
OllieGordonII,OKST,'RB','174',"'1,224'",'7.0','75','12'
KimaniVidal,TROY,'RB','196',"'1,119'",'5.7','69','7'
MarcusCarroll,GAST,'RB','210',"'1,093'",'5.2','63','12'
OmarionHampton,UNC,'RB','175',"'1,067'",'6.1','68','12'
TahjBrooks,TTU,'RB','193',"'1,037'",'5.4','38','7'
JonathonBrooks,TEX,'RB','166',"'1,035'",'6.2','67','8'
Kay'RonLynch-Adams,MASS,'RB','201',"'1,014'",'5.0','47','9'
PenyBoone,TOL,'RB','136','990','7.3','71','9'
AudricEstime,ND,'RB','163','988','6.1','80','13'
QuintonCooley,LIB,'RB','162','981','6.1','32','9'
IsmailMahdi,TXST,'RB','138','953','6.9','65','8'
AshtonJeanty,BOIS,'RB','157','921','5.9','68','11'
CodySchrader,MIZ,'RB','162','919','5.7','52','10'
EmaniBailey,TCU,'RB','165','908','5.5','74','4'
RayDavis,UK,'RB','148','903','6.1','75','9'
KyleMonangai,RUTG,'RB','168','903','5.4','55','7'
JawharJordan,LOU,'RB','124','881','7.1','74','11'
DamienMartinez,ORST,'RB','140','878','6.3','64','3'
MakhiHughes,TULN,'RB','166','877','5.3','43','5'
RJHarvey,UCF,'RB','146','876','6.0','54','9'
JaydnOtt,CAL,'RB','145','847','5.8','66','9'
AntarioBrown,NIU,'RB','137','843','6.2','80','7'
DevinNeal,KU,'RB','136','828','6.1','75','9'
BlakeWatson,MEM,'RB','130','826','6.4','69','10'
JaylenWright,TENN,'RB','110','826','7.5','82','3'
BuckyIrving,ORE,'RB','119','821','6.9','56','9'
FrankGoreJr.,USM,'RB','163','812','5.0','75','7'
QuinshonJudkins,MISS,'RB','169','793','4.7','40','12'
JalenBuckley,WMU,'RB','139','775','5.6','75','7'
MarShawnLloyd,USC,'RB','99','766','7.7','56','8'
TerionStewart,BGSU,'RB','125','762','6.1','54','8'
RasheenAli,MRSH,'RB','147','761','5.2','61','11'
ThomasCastellanos,BC,'QB','147','760','5.2','45','10'
CoreyKiner,CIN,'RB','138','756','5.5','68','3'
BraelonAllen,WIS,'RB','130','754','5.8','52','8'
JalenWhite,GASO,'RB','123','750','6.1','45','8'
DeionHankins,UTEP,'RB','139','746','5.4','54','3'
DJGiddens,KSU,'RB','125','744','6.0','43','7'
EmmanuelMichel,AFA,'FB','163','733','4.5','53','9'
La'DamianWebb,USA,'RB','134','727','5.4','65','14'
