Team,Opo Team,Score,Players
TBDMyrtle Beach Bowl,@TBD,11:00 AM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $30', 'Stats': ''}, {'Player': 'Brooks Stadium (SC), Conway, SC', 'Stats': ''}]"
TBDR+L Carriers New Orleans Bowl,@TBD,2:15 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $53', 'Stats': ''}, {'Player': 'Caesars Superdome, New Orleans, LA', 'Stats': ''}]"
TBDAvocados From Mexico Cure Bowl,@TBD,3:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $91', 'Stats': ''}, {'Player': 'FBC Mortgage Stadium, Orlando, FL', 'Stats': ''}]"
TBDNew Mexico Bowl,@TBD,5:45 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $42', 'Stats': ''}, {'Player': 'University Stadium (NM), Albuquerque, NM', 'Stats': ''}]"
TBDLA Bowl,@TBD,7:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $37', 'Stats': ''}, {'Player': 'SoFi Stadium, Inglewood, CA', 'Stats': ''}]"
TBDRadiance Technologies Independence Bowl,@TBD,9:15 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $25', 'Stats': ''}, {'Player': 'Independence Stadium, Shreveport, LA', 'Stats': ''}]"
TBDHomeTown Lenders Bahamas Bowl,@TBD,2:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': '', 'Stats': ''}, {'Player': 'Thomas A. Robinson National Stadium, Nassau, NP', 'Stats': ''}]"
TBDFrisco Bowl,@TBD,9:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $110', 'Stats': ''}, {'Player': 'Toyota Stadium, Frisco, TX', 'Stats': ''}]"
TBDRoofClaim.com Boca Raton Bowl,@TBD,8:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $75', 'Stats': ''}, {'Player': 'FAU Stadium, Boca Raton, FL', 'Stats': ''}]"
TBDUnion Home Mortgage Gasparilla Bowl,@TBD,6:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $77', 'Stats': ''}, {'Player': 'Raymond James Stadium, Tampa, FL', 'Stats': ''}]"
TBDBirmingham Bowl,@TBD,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': '', 'Stats': ''}, {'Player': 'Protective Stadium, Birmingham, AL', 'Stats': ''}]"
TBDCamellia Bowl,@TBD,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $82', 'Stats': ''}, {'Player': 'Cramton Bowl, Montgomery, AL', 'Stats': ''}]"
TBDLockheed Martin Armed Forces Bowl,@TBD,3:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $50', 'Stats': ''}, {'Player': 'Amon G. Carter Stadium, Fort Worth, TX', 'Stats': ''}]"
TBDFamous Idaho Potato Bowl,@TBD,3:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': '', 'Stats': ''}, {'Player': 'Albertsons Stadium, Boise, ID', 'Stats': ''}]"
TBD68 Ventures Bowl,@TBD,7:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $41', 'Stats': ''}, {'Player': 'Hancock Whitney Stadium, Mobile, AL', 'Stats': ''}]"
TBDSRS Distribution Las Vegas Bowl,@TBD,7:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $789', 'Stats': ''}, {'Player': 'Allegiant Stadium, Las Vegas, NV', 'Stats': ''}]"
TBDEasyPost Hawai'i Bowl,@TBD,10:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $35', 'Stats': ''}, {'Player': 'Clarence T.C. Ching Athletics Complex, Honolulu, HI', 'Stats': ''}]"
TBDQuick Lane Bowl,@TBD,2:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $30', 'Stats': ''}, {'Player': 'Ford Field, Detroit, MI', 'Stats': ''}]"
TBDSERVPRO First Responder Bowl,@TBD,5:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $65', 'Stats': ''}, {'Player': 'Gerald J. Ford Stadium, Dallas, TX', 'Stats': ''}]"
TBDGuaranteed Rate Bowl,@TBD,9:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $64', 'Stats': ''}, {'Player': 'Chase Field, Phoenix, AZ', 'Stats': ''}]"
TBDMilitary Bowl,@TBD,2:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $38', 'Stats': ''}, {'Player': 'Navy-Marine Corps Memorial Stadium, Annapolis, MD', 'Stats': ''}]"
TBDDuke's Mayo Bowl,@TBD,5:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $95', 'Stats': ''}, {'Player': 'Bank of America Stadium, Charlotte, NC', 'Stats': ''}]"
TBDSan Diego County Credit Union Holiday Bowl,@TBD,8:00 PM,"[{'Player': 'FOX', 'Stats': ''}, {'Player': 'Tickets as low as $55', 'Stats': ''}, {'Player': 'Petco Park, San Diego, CA', 'Stats': ''}]"
TBDTaxAct Texas Bowl,@TBD,9:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $57', 'Stats': ''}, {'Player': 'NRG Stadium, Houston, TX', 'Stats': ''}]"
TBDWasabi Fenway Bowl,@TBD,11:00 AM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $51', 'Stats': ''}, {'Player': 'Fenway Park, Boston, MA', 'Stats': ''}]"
TBDBad Boy Mowers Pinstripe Bowl,@TBD,2:15 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $64', 'Stats': ''}, {'Player': 'Yankee Stadium, Bronx, NY', 'Stats': ''}]"
TBDPop-Tarts Bowl,@TBD,5:45 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $124', 'Stats': ''}, {'Player': 'Camping World Stadium, Orlando, FL', 'Stats': ''}]"
TBDValero Alamo Bowl,@TBD,9:15 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $63', 'Stats': ''}, {'Player': 'Alamodome, San Antonio, TX', 'Stats': ''}]"
TBDTaxSlayer Gator Bowl,@TBD,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $58', 'Stats': ''}, {'Player': 'EverBank Stadium, Jacksonville, FL', 'Stats': ''}]"
TBDTony the Tiger Sun Bowl,@TBD,2:00 PM,"[{'Player': 'CBS', 'Stats': ''}, {'Player': 'Tickets as low as $31', 'Stats': ''}, {'Player': 'Sun Bowl, El Paso, TX', 'Stats': ''}]"
TBDAutoZone Liberty Bowl,@TBD,3:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $78', 'Stats': ''}, {'Player': 'Simmons Bank Liberty Stadium, Memphis, TN', 'Stats': ''}]"
TBDGoodyear Cotton Bowl Classic,@TBD,8:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $68', 'Stats': ''}, {'Player': 'AT&T Stadium, Arlington, TX', 'Stats': ''}]"
TBDChick-fil-A Peach Bowl,@TBD,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $106', 'Stats': ''}, {'Player': 'Mercedes-Benz Stadium, Atlanta, GA', 'Stats': ''}]"
TBDTransPerfect Music City Bowl,@TBD,2:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $68', 'Stats': ''}, {'Player': 'Nissan Stadium, Nashville, TN', 'Stats': ''}]"
TBDCapital One Orange Bowl,@TBD,4:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $79', 'Stats': ''}, {'Player': 'Hard Rock Stadium, Miami Gardens, FL', 'Stats': ''}]"
TBDBarstool Sports Arizona Bowl,@TBD,4:30 PM,"[{'Player': 'Barstool', 'Stats': ''}, {'Player': 'Tickets as low as $13', 'Stats': ''}, {'Player': 'Arizona Stadium, Tucson, AZ', 'Stats': ''}]"
TBDReliaQuest Bowl,@TBD,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $107', 'Stats': ''}, {'Player': 'Raymond James Stadium, Tampa, FL', 'Stats': ''}]"
TBDCheez-It Citrus Bowl,@TBD,1:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $133', 'Stats': ''}, {'Player': 'Camping World Stadium, Orlando, FL', 'Stats': ''}]"
TBDVrbo Fiesta Bowl,@TBD,1:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $132', 'Stats': ''}, {'Player': 'State Farm Stadium, Glendale, AZ', 'Stats': ''}]"
TBDCFP Semifinal at the Rose Bowl Game,@TBD,5:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $233', 'Stats': ''}, {'Player': 'Rose Bowl, Pasadena, CA', 'Stats': ''}]"
TBDCFP Semifinal at the Allstate Sugar Bowl,@TBD,8:45 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $260', 'Stats': ''}, {'Player': 'Caesars Superdome, New Orleans, LA', 'Stats': ''}]"
TBDCFP National Championship pres. by AT&T,@TBD,7:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $829', 'Stats': ''}, {'Player': 'NRG Stadium, Houston, TX', 'Stats': ''}]"
